Question;answer1;answer2;answer3;answer4;correct1;correct2;correct3;correct4
What is the primary focus of the assessment tests SUS and QUIS?;Measuring quality of life;Assessing sociodemographic factors;Analyzing ICT use;Evaluating usability;EMPTY;EMPTY;EMPTY;x
"In the ""frAAgiLe"" Project, which category of tests specifically focuses on assessing the literacy of users with technology?";Quality of life tests;Physical tests;Cognitive tests;IT Skills tests;EMPTY;EMPTY;EMPTY;x
"What is the main purpose of the ""MMSE"" test?";Assessing physical frailty in elderly users;Measuring cognitive status in a quick and easy manner;Evaluating nutritional habits of users;Gauging the potential to develop complex software applications;EMPTY;EMPTY;EMPTY;EMPTY
What are some indicators considered in the Social Impact Repository (SIOR)?;Connection to United Nations Sustainable Development Goals, publication in scientific journals, and sustainability;Number of research projects conducted;Only the percentage of improvement achieved;Sustainability and replicability of the impact only;x;EMPTY;EMPTY;EMPTY
What are the key criteria outlined for designing or adopting solutions for impact measurement?;Complexity, diversity, and ambiguity;Simplicity, consistency, clarity, and transparency;Innovation, uniqueness, and adaptability;Speed, efficiency, and scalability;EMPTY;x;EMPTY;EMPTY
What are some social impacts highlighted in the examples of the eVida group's project (VIVEWEB)?;Promoting digital divide and emphasizing the gaps in technology access;Fostering a collective memory network and using social networks for reminiscence;Focusing solely on combating the digital divide without addressing other societal issues;Creating a project that exclusively targets specific age groups;EMPTY;x;EMPTY;EMPTY
What challenges does the frAAgiLe platform aim to address in relation to frailty syndrome?;Enhancing physical limitations and falls;Predicting hospitalization and mortality;Strengthening bonds between users and health professionals;Focusing exclusively on monitoring frailty without mitigation strategies;EMPTY;EMPTY;x;EMPTY
What non-invasive hardware components contribute to the exhaustive data collection in the frAAgiLe platform?;SQUEGG and gamification strategy;Training programs and data analysis;General overview and diagnostics;Smartwatch and body tracking systems;EMPTY;EMPTY;EMPTY;x
What key achievements are highlighted in the project frAAgiLe?;Exclusively monitoring frailty without any mitigation strategies;Creating a system that can only be accessed from a computer;An accessible and useful system accessible from any tablet;Co-creating with a single-disciplinary team of experts;EMPTY;EMPTY;x;EMPTY
How is a living lab defined?;A closed-innovation ecosystem in a territorial context;A user-centered, open-innovation ecosystem within a public-private-people partnership;A research lab exclusively for private partnerships;A concept focused solely on concurrent research processes;EMPTY;x;EMPTY;EMPTY
What distinguishes Living Labs from traditional research and innovation models?;Exclusive focus on individual innovation.;Emphasis on closed-innovation ecosystems.;Systematic user co-creation, open innovation, and a public-private-people partnership.;Isolation from territorial contexts.;EMPTY;EMPTY;x;EMPTY
What are the different design models mentioned in the text?;Cooperative design, participatory design, and contextual design.;Exclusive design, cooperative design, and contextual design.;Participatory design, contextual design, and customer-centered design.;Cooperative design, participatory design, and exclusive design.;x;EMPTY;EMPTY;EMPTY
Which design model emphasizes the involvement of both designers and users on an equal footing?;Cooperative design;Participatory design;Contextual design;Exclusive design;x;EMPTY;x;x
What are the key approaches outlined in the ISO standard 52075 for user-centered design?;Exclusive focus on tasks, iterative design, and multidisciplinary skills.;Involvement of users, iterative design, and addressing the whole user experience.;User-centered evaluation, explicit understanding of environments, and multidisciplinary perspectives.;Task-driven design, exclusive focus on users, and iterative processes.;EMPTY;x;EMPTY;EMPTY
According to the information provided, what does the ISO 9241 standard define regarding User-Centered Design (UCD)?;It defines the methods to be followed in UCD projects.;It outlines the principles of UCD but not its scope.;It defines the concept of UCD and its scope but not the methods.;It exclusively focuses on the early stages of a UCD project.;EMPTY;EMPTY;x;EMPTY
What is the primary purpose of the ISO 9241 standard, established by ISO and the IEC in 1999?;Regulating the quality of software only.;Focusing solely on hardware ergonomics.;Regulating the quality of ergonomics and usability in both hardware and software.;Setting standards for hardware only.;EMPTY;EMPTY;x;EMPTY
What aspect of users' abilities do IT Skills tests primarily focus on, according to the text?;General literacy skills.;Development of hardware.;Potential to develop complex software applications.;Basic computer usage skills.;EMPTY;EMPTY;x;EMPTY
What is the primary purpose of the MMSE (minimental scale) mentioned in the text?;Providing a quick and easy overview of the cognitive status of the user.;Evaluating mental health.;Assessing physical fitness.;Measuring overall well-being.;x;EMPTY;EMPTY;EMPTY
How is social impact defined in the text?;Social improvements achieved during a research project.;Achievements of a particular study.;Outcomes of a social improvement initiative.;Consequence of implementing the results of a research project.;EMPTY;EMPTY;EMPTY;x
What is the primary role of SIOR (Social Impact Open Repository) as mentioned in the text?;Providing an open repository for information related to social impact assessments.;Exclusively assessing scientific impact.;Focusing on social initiatives without considering research projects.;Assessing social improvements achieved during scientific studies.;x;EMPTY;EMPTY;EMPTY
